OBJECTID;Name;Exposition;Hangneig;Woelbung;TWIndex;LS-Faktor;Pfad_Fluss;Pfad_Dorf
65;B0065;295,3460083;4,871640205;7,644509792;-12,90799999;3,626250029;17720,19922;1762,26001
66;B0066;145,6199951;5,332049847;-23,77549934;-15,04940033;2,052999973;17518,69922;1660,550049
67;B0067;323,5310059;6,613840103;-33,34000015;-1,20678997;9,161950111;17506,30078;1226,540039
68;B0069;282,6530151;11,50769997;-17,78560066;-16,85099983;2,368259907;17601;1130,550049
69;B0070;299,0549927;7,13725996;-26,24510002;-8,092280388;9,491700172;17566,40039;1167,099976
70;B0071;18,43490028;0,734493971;-25,28129959;-11,20160007;1,618469954;19755,80078;1449,77002
71;B0072;194,0359955;1,914720058;0,832768977;-7,155960083;12,38640022;16300;306,2430115
72;B0073;227,7259979;6,873030186;0,061780099;-15,32740021;2,825989962;16274,90039;331,5090027
73;B0074;232,125;2,646519899;0,167056993;-9,360250473;1,936400056;16105,40039;207,8990021
74;B0075;315;0,985383987;-33,73889923;-10,71490002;1,747200012;15935,7998;202,7850037
75;B0076;78,69010162;4,726850033;-3,861330032;-14,14159966;3,038820028;16259,2998;164,529007
76;B0077;142,5950012;4,958600044;-5,202270031;-16,23740005;2,016170025;16003,40039;116,7969971
77;B0078;326,8890076;6,352039814;-9,953559875;-15,91049957;2,181809902;15846,2998;763,2390137
78;B0079;186,3399963;6,284830093;-11,24090004;-12,27070045;4,472559929;15840,2002;129,2140045
79;B0080;288,4349976;0,734493971;-12,21730042;-7,279779911;3,47307992;16140;1241,589966
80;B0081;65,55599976;2,804409981;8,518079758;-9,15528965;2,073110104;14701,2002;2116,949951
81;B0082;206,5650024;1,038669944;-26,14550018;-11,25529957;1,449190021;14676;2091,919922
82;B0083;204,4440002;2,804409981;-41,3064003;-7,904200077;2,503550053;15708,2002;1317,589966
83;B0084;64,98310089;3,839169979;3,665780067;-6,633540154;3,062319994;12244,2998;1849,030029
84;B0085;315;0,985383987;11,07069969;-7,523630142;3,437570095;11856,2002;1600,079956
85;B0086;285,2550049;2,646519899;-2,463619947;-5,918819904;3,52538991;11739,90039;1410,75
86;B0087;144,4620056;1,997339964;-43,52669907;0,879812002;13,87489986;11693,09961;1214,180054
87;B0088;180;1,393409967;6,353079796;-17,98390007;1,582139969;11939,2998;421,348999
